"","Family","Sample.Type","Anti_Post","N","mean","sd","se"
"1","Comamonadaceae","Small Intestine","Antemortem",4,0.307791417630006,0.615582835260012,0.307791417630006
"2","Comamonadaceae","Small Intestine","Postmortem",11,0,0,0
"3","Comamonadaceae","Ceca","Antemortem",5,1.44043980311869,2.1083384797332,0.9428776320524
"4","Comamonadaceae","Ceca","Postmortem",9,0.103451843279546,0.251549057845469,0.0838496859484895
"5","Comamonadaceae","Large Intestine","Antemortem",5,10.1215336316977,8.78300350149094,3.92787857519048
"6","Comamonadaceae","Large Intestine","Postmortem",12,0.345554884527239,1.13994914119923,0.32907497176693
"7","Comamonadaceae","Cloaca","Antemortem",2,0,0,0
"8","Comamonadaceae","Cloaca","Postmortem",9,0.0215263060324148,0.062739077272765,0.0209130257575883
"9","Enterobacteriaceae","Small Intestine","Antemortem",4,9.38750161311137,11.073141043658,5.53657052182901
"10","Enterobacteriaceae","Small Intestine","Postmortem",11,55.5169342931915,20.2279385548014,6.09895295169455
"11","Enterobacteriaceae","Ceca","Antemortem",5,41.8803478401201,36.3637816535305,16.2623775392508
"12","Enterobacteriaceae","Ceca","Postmortem",9,40.7459243889597,38.985302315212,12.9951007717373
"13","Enterobacteriaceae","Large Intestine","Antemortem",5,0.377763448896574,0.598841827402844,0.267810206768591
"14","Enterobacteriaceae","Large Intestine","Postmortem",12,49.9228991328412,22.4014694818192,6.46674721778575
"15","Enterobacteriaceae","Cloaca","Antemortem",2,29.9495787425881,12.36221828789,8.74140838187539
"16","Enterobacteriaceae","Cloaca","Postmortem",9,71.5897973840057,12.0451322000774,4.01504406669246
"17","Enterococcaceae","Small Intestine","Antemortem",4,6.06860158311346,12.1372031662269,6.06860158311346
"18","Enterococcaceae","Small Intestine","Postmortem",11,10.5696785654977,11.7698664070339,3.54874824588543
"19","Enterococcaceae","Ceca","Antemortem",5,6.72476827716998,4.79663948688851,2.14512239124848
"20","Enterococcaceae","Ceca","Postmortem",9,2.96951225252972,7.25062982517708,2.41687660839236
"21","Enterococcaceae","Large Intestine","Antemortem",5,11.1311717022845,17.2102123633334,7.69664095032416
"22","Enterococcaceae","Large Intestine","Postmortem",12,15.3000400087106,12.1019137188446,3.49352157164228
"23","Enterococcaceae","Cloaca","Antemortem",2,1.97424892703863,2.79200960811856,1.97424892703863
"24","Enterococcaceae","Cloaca","Postmortem",9,11.4044107520952,7.8920391643876,2.63067972146253
"25","Moraxellaceae","Small Intestine","Antemortem",4,13.1464916232276,18.6573990259253,9.32869951296265
