,KEGG.Pathway,Sample.Type,Anti_Post,N,mean,sd,se
1,Amino Acid Metabolism,Small Intestine,Antemortem,4,10.01424878,0.746214188,0.373107094
2,Amino Acid Metabolism,Small Intestine,Postmortem,11,8.570096799,0.215529053,0.064984455
3,Amino Acid Metabolism,Ceca,Antemortem,5,8.637868947,0.368895895,0.16497526
4,Amino Acid Metabolism,Ceca,Postmortem,9,8.317877804,0.682609649,0.22753655
5,Amino Acid Metabolism,Large Intestine,Antemortem,5,10.71732763,0.448864534,0.200738322
6,Amino Acid Metabolism,Large Intestine,Postmortem,12,8.494994705,0.185705209,0.053608476
7,Amino Acid Metabolism,Cloaca,Antemortem,2,8.920382167,0.494986448,0.350008274
8,Amino Acid Metabolism,Cloaca,Postmortem,9,8.387029334,0.21268202,0.070894007
9,Biosynthesis of Other Secondary Metabolites,Small Intestine,Antemortem,4,0.782678997,0.056946189,0.028473095
10,Biosynthesis of Other Secondary Metabolites,Small Intestine,Postmortem,11,0.732664371,0.047120119,0.01420725
11,Biosynthesis of Other Secondary Metabolites,Ceca,Antemortem,5,0.730414362,0.075447848,0.033741304
12,Biosynthesis of Other Secondary Metabolites,Ceca,Postmortem,9,0.728687276,0.147047422,0.049015807
13,Biosynthesis of Other Secondary Metabolites,Large Intestine,Antemortem,5,0.892623824,0.105848427,0.047336856
14,Biosynthesis of Other Secondary Metabolites,Large Intestine,Postmortem,12,0.734803743,0.046154734,0.013323724
15,Biosynthesis of Other Secondary Metabolites,Cloaca,Antemortem,2,0.742191154,0.050652346,0.035816617
16,Biosynthesis of Other Secondary Metabolites,Cloaca,Postmortem,9,0.705662226,0.040221411,0.013407137
17,Cancers,Small Intestine,Antemortem,4,0.127174812,0.038237918,0.019118959
18,Cancers,Small Intestine,Postmortem,11,0.085567502,0.014483227,0.004366857
19,Cancers,Ceca,Antemortem,5,0.094195097,0.016986067,0.0075964
20,Cancers,Ceca,Postmortem,9,0.089717317,0.021754021,0.00725134
21,Cancers,Large Intestine,Antemortem,5,0.126351035,0.016173651,0.007233077
22,Cancers,Large Intestine,Postmortem,12,0.080438496,0.012325139,0.003557961
23,Cancers,Cloaca,Antemortem,2,0.102162446,0.018744754,0.013254543
24,Cancers,Cloaca,Postmortem,9,0.088881896,0.006789963,0.002263321
25,Carbohydrate Metabolism,Small Intestine,Antemortem,4,9.667968175,0.787588054,0.393794027
26,Carbohydrate Metabolism,Small Intestine,Postmortem,11,11.42674504,0.4606751,0.138898769
27,Carbohydrate Metabolism,Ceca,Antemortem,5,10.90548893,0.795417111,0.355721346
28,Carbohydrate Metabolism,Ceca,Postmortem,9,11.03947955,0.874374391,0.29145813
29,Carbohydrate Metabolism,Large Intestine,Antemortem,5,10.73424145,0.913824452,0.408674719
30,Carbohydrate Metabolism,Large Intestine,Postmortem,12,11.50678049,0.536715877,0.154936528
31,Carbohydrate Metabolism,Cloaca,Antemortem,2,11.30547018,0.648324607,0.458434726
32,Carbohydrate Metabolism,Cloaca,Postmortem,9,11.4387196,0.636159374,0.212053125
33,Cell Growth and Death,Small Intestine,Antemortem,4,0.465995209,0.125845894,0.062922947
34,Cell Growth and Death,Small Intestine,Postmortem,11,0.282835773,0.059152046,0.017835013
35,Cell Growth and Death,Ceca,Antemortem,5,0.304590858,0.085326762,0.038159288
36,Cell Growth and Death,Ceca,Postmortem,9,0.354900641,0.105898746,0.035299582
37,Cell Growth and Death,Large Intestine,Antemortem,5,0.413119658,0.040811458,0.018251439
38,Cell Growth and Death,Large Intestine,Postmortem,12,0.271422704,0.040375443,0.011655386
39,Cell Growth and Death,Cloaca,Antemortem,2,0.321366293,0.104891838,0.07416973
40,Cell Growth and Death,Cloaca,Postmortem,9,0.234845168,0.024945008,0.008315003
41,Cell Motility,Small Intestine,Antemortem,4,3.55027106,1.63217924,0.81608962
42,Cell Motility,Small Intestine,Postmortem,11,2.026413474,0.869075056,0.262035989
43,Cell Motility,Ceca,Antemortem,5,2.362268963,1.062831316,0.475312614
44,Cell Motility,Ceca,Postmortem,9,3.116880914,1.097646213,0.365882071
45,Cell Motility,Large Intestine,Antemortem,5,2.234754862,0.810078354,0.362278053
46,Cell Motility,Large Intestine,Postmortem,12,1.975989847,0.860323523,0.248354009
47,Cell Motility,Cloaca,Antemortem,2,1.463464402,0.650633434,0.460067313
48,Cell Motility,Cloaca,Postmortem,9,1.761047566,0.796443071,0.265481024
49,Cellular Processes and Signaling,Small Intestine,Antemortem,4,4.222321055,0.53500181,0.267500905
50,Cellular Processes and Signaling,Small Intestine,Postmortem,11,4.919256804,0.300815842,0.090699389
51,Cellular Processes and Signaling,Ceca,Antemortem,5,4.890890448,0.580664654,0.259681128
52,Cellular Processes and Signaling,Ceca,Postmortem,9,4.805974486,0.689132327,0.229710776
53,Cellular Processes and Signaling,Large Intestine,Antemortem,5,3.757185387,0.606688088,0.271319161
54,Cellular Processes and Signaling,Large Intestine,Postmortem,12,4.912856193,0.282900793,0.081666425
55,Cellular Processes and Signaling,Cloaca,Antemortem,2,4.684254184,0.568223072,0.401794387
56,Cellular Processes and Signaling,Cloaca,Postmortem,9,5.234606329,0.150948504,0.050316168
57,Digestive System,Small Intestine,Antemortem,4,0.051328197,0.032382065,0.016191032
58,Digestive System,Small Intestine,Postmortem,11,0.029097875,0.01003764,0.003026462
