SampleID	LinkerSequence	Nest	Chick	Sample_Type	Hours	Anti_Post	Type_Hours	Dry_Weight	Description	Evenness	faith_pd	shannon
ST100	N	15	1	Cloacal_Swab	72_hrs	Post_Mortem	Cloacal_Swab72_hrs	NA	ST100	0.821834195	1.255593942	2.843079201
ST101	N	26	1	Cloacal_Swab	72_hrs	Post_Mortem	Cloacal_Swab72_hrs	NA	ST101	0.763499248	1.377713238	2.90691262
ST126	N	3	1	Small_Intestine_Tissue	0_hrs	Anti_Mortem	Small_Intestine_Tissue0_hrs	1.365	ST126	0.899613144	5.845835769	5.224372821
ST127	N	5	1	Small_Intestine_Tissue	0_hrs	Anti_Mortem	Small_Intestine_Tissue0_hrs	1.208	ST127	0.935996817	7.093372961	4.981307756
ST128	N	6	1	Small_Intestine_Tissue	0_hrs	Anti_Mortem	Small_Intestine_Tissue0_hrs	1.49	ST128	0.813204338	4.403166247	4.412662035
ST129	N	7	1	Small_Intestine_Tissue	0_hrs	Anti_Mortem	Small_Intestine_Tissue0_hrs	1.294	ST129	0.843579005	3.395202424	3.211804678
ST132	N	22	1	Small_Intestine_Tissue	24_hrs	Post_Mortem	Small_Intestine_Tissue24_hrs	1.463	ST132	0.485074234	2.413235334	1.455222703
ST133	N	21	1	Small_Intestine_Tissue	24_hrs	Post_Mortem	Small_Intestine_Tissue24_hrs	1.618	ST133	0.966228031	6.131799777	5.586111815
ST134	N	20	1	Small_Intestine_Tissue	24_hrs	Post_Mortem	Small_Intestine_Tissue24_hrs	1.101	ST134	0.771291105	1.204056357	2.76504969
ST135	N	28	1	Small_Intestine_Tissue	24_hrs	Post_Mortem	Small_Intestine_Tissue24_hrs	1.244	ST135	0.650483129	3.624183688	2.763205179
ST136	N	22	2	Small_Intestine_Tissue	48_hrs	Post_Mortem	Small_Intestine_Tissue48_hrs	1.18	ST136	0.674738749	2.529609293	2.024216246
ST137	N	21	2	Small_Intestine_Tissue	48_hrs	Post_Mortem	Small_Intestine_Tissue48_hrs	1.341	ST137	0.628198812	1.136025091	1.763577027
ST138	N	20	2	Small_Intestine_Tissue	48_hrs	Post_Mortem	Small_Intestine_Tissue48_hrs	1.148	ST138	0.851948559	1.715132888	3.407794234
ST139	N	27	1	Small_Intestine_Tissue	48_hrs	Post_Mortem	Small_Intestine_Tissue48_hrs	1.416	ST139	0.6344422	1.076593864	1.781104433
ST140	N	22	3	Small_Intestine_Tissue	72_hrs	Post_Mortem	Small_Intestine_Tissue72_hrs	1.096	ST140	0.855470555	1.1236949	3.16561722
ST141	N	21	3	Small_Intestine_Tissue	72_hrs	Post_Mortem	Small_Intestine_Tissue72_hrs	1.065	ST141	0.759416965	1.341650882	2.407294823
