ST100	ST101	ST117	ST118	ST119	ST126	ST127	ST128	ST129	ST132	ST133	ST134	ST135	ST136	ST137	ST138	ST139	ST140	ST141	ST142	ST147	ST149	ST154	ST162	ST163	ST164	ST165	ST167	ST168	ST169	ST170	ST171	ST172	ST173	ST174	ST175	ST176	ST177	ST178	ST179	ST180	ST181	ST182	ST183	ST185	ST186	ST187	ST188	ST189	ST190	ST191	ST192	ST193	ST195	ST196	ST197	ST81	ST82	ST83	ST84	ST85	ST88	ST90	ST91	ST99
7181312	8530463	9313322	3938062	8367119	444682	146840	2499743	10150	15808321	79849	4787512	4455312	2205850	3684288	1995085	5152890	3206229	4568404	3475131	34679	336132	5049948	27705	41655	171798	135820	21931	6172482	5676678	360474	7167103	731051	4289373	3898999	2675764	3034123	7784362	3417383	4074515	2692160	175751	24699	42843	535787	920	423141	115461	16380	66499	879539	2393882	301971	3727843	933240	2534551	620598	7870764	5499601	5734212	13825851	583290	1693482	5242460	1249380
615631	744423	759388	311173	691165	30031	11700	209078	842	1327815	6980	405874	377833	203390	298829	171351	465453	245280	409196	290070	3131	30926	474058	2354	3800	15102	11150	1533	505865	485517	30792	613068	62795	374624	347736	244547	228442	696303	292572	388208	226203	13081	2316	3738	44452	57	32049	7192	1388	5665	81773	215367	28119	367548	78392	251874	51150	668696	472307	461291	1181676	48952	137915	461457	97089
73134	83437	101228	47246	90464	6402	1263	41702	112	165566	1066	45250	44779	19145	38566	16279	46695	35808	39096	35317	230	3959	39664	268	473	2004	1850	277	67433	50881	3243	71410	7908	41022	30051	21874	38914	71122	31490	30381	27364	2442	211	482	5719	14	6100	2124	149	874	8141	22188	2636	27608	10573	18771	6438	82188	53196	64243	140516	7262	21549	50863	14598
10143728	11822753	12287388	4980218	11500709	372367	145400	2269185	11698	22153152	100913	6605146	6124226	2917794	4851759	2789316	6945369	3850442	6262587	4508825	50486	321084	6812991	29452	44708	169802	129883	20281	8485177	7759270	456191	9917832	971195	5910793	5418393	3717399	3698561	10903759	4634717	5715641	3701483	205185	30662	49940	734533	1402	490458	180723	21922	84623	1160724	3312546	386540	5010975	1232196	3392413	851848	11013432	7590123	7856582	19310236	682492	2166853	7198612	1588252
176598	247334	243336	133172	209513	15411	5654	163369	499	372324	3487	136848	112276	89852	105385	68840	186085	117731	144850	113483	1611	14777	197013	1009	1595	6546	6195	758	153387	155334	12236	179000	26842	124767	133872	100152	106502	233482	104938	159444	70426	6012	1240	1626	14759	80	14788	10191	427	2217	34107	74666	13035	162619	32106	112122	17900	198068	147078	150814	343082	24887	57299	156491	40082
901081	1706772	1474254	1527541	1045997	166394	40914	1399757	1951	1695863	12901	822697	523274	905242	961132	401157	1856801	1095153	899368	941448	11107	71151	1704670	6682	3443	31847	39159	5627	939068	615720	80883	771307	311761	871785	646949	993310	951166	1557569	637540	1401493	382548	59668	10483	13190	81077	155	161986	12609	1637	29299	362490	539337	140632	1620603	374003	1130922	72658	1124487	749031	1217861	1700626	121028	736131	1202921	376902
4464775	5070744	5644873	2467969	5159986	204298	52391	1098983	4385	9942280	39217	2883955	2721766	1160735	2311961	1102531	2904224	1833336	2549331	2043762	14011	94243	2608203	9459	11563	53198	60656	8452	3939112	3318585	201502	4367009	459724	2541865	2114192	1435840	1793280	4489718	1960458	2083316	1643597	114850	11743	21098	325212	603	285760	58598	9223	48018	503473	1379164	159851	1839741	601173	1247213	368291	4918966	3335562	3713453	8527043	269451	1192529	3121483	764876
30949	28223	36600	11073	33016	767	519	23683	63	66315	294	20245	18884	1403	13412	9416	9422	12008	13715	12246	268	930	7090	107	90	881	413	61	26355	24257	1392	30063	3428	13798	14309	7106	9892	25082	12033	10326	10993	548	125	146	2061	4	1624	284	64	315	1672	6022	405	297	4802	823	2629	35504	23364	24393	54587	1943	8487	15753	4818
121553	146645	163109	77586	144378	12461	6856	93169	365	265116	2316	88491	78593	40200	72039	37771	87115	71419	76325	64998	838	14420	84138	1391	1810	5772	5328	876	105640	102748	8334	124313	14855	72568	69497	47782	64694	127872	65171	68026	48064	3932	629	1302	9630	28	9482	3811	390	1336	14639	38333	5520	54830	17948	37531	11007	137527	96498	103273	231588	16424	34255	87381	25520
3937370	4681283	4957111	2209023	4534466	192088	83181	1300845	6782	8590065	44072	2615306	2396620	1229773	2000580	1110108	2844701	1759249	2460153	1889023	20900	152538	2761652	13433	19244	93169	68764	10308	3372091	3025846	191862	3860232	434201	2335118	2125673	1502654	1707377	4263654	1859214	2281719	1458883	103910	14711	22730	294018	694	249984	87568	8529	39067	491083	1307168	170315	2049273	542069	1393660	343422	4336665	2982699	3177115	7500395	309203	1011910	2866369	695586
79648	105676	98770	51484	89121	5957	1803	38373	113	164901	1200	54106	47007	36171	42430	25614	78738	39978	58506	42677	630	3703	79622	402	325	1911	1892	259	65384	59898	4513	75562	11510	53302	49863	42916	38200	101369	40019	67260	29344	2131	467	661	6142	23	5378	2855	168	976	14336	32169	5162	67829	13435	47565	7044	87834	61041	63218	150821	7605	24636	67694	15230
1699125	2103536	2159926	1011081	1939919	77598	28507	506630	2440	3715360	18439	1128563	1045090	595628	867009	470121	1360429	741489	1128178	860888	8302	56572	1345272	4773	6230	30835	24553	3386	1468755	1292605	81405	1675984	186998	1054850	930232	694282	708610	1939924	806005	1082658	629430	42501	5511	9017	126787	328	102207	39869	3580	17598	241653	610394	83079	1074960	239555	727250	141972	1863450	1290032	1395007	3292564	126910	433048	1314383	295485
42356	42005	49126	9957	46640	984	790	11535	33	93936	351	25418	24175	5687	15843	6973	21238	6893	21953	12411	43	1424	18341	72	249	798	374	77	33586	28872	1532	40333	2833	22036	16258	9530	9038	40481	13391	15277	14444	651	25	156	2994	0	1643	239	87	349	3706	12359	1025	13803	3609	8976	3304	45305	30021	31678	80231	2439	7720	26994	4334
1660670	1979519	2118286	1020892	1934140	82134	32198	549123	2782	3643588	19164	1129530	1023016	522448	887131	484004	1191412	813295	1021919	835875	8536	61114	1137873	5107	7650	36435	28996	4066	1463278	1287262	83543	1635921	195132	982014	905790	622338	780757	1764138	803353	928865	622599	48160	6821	9474	124531	362	117370	40280	3516	18267	209035	541333	70889	821039	246393	560643	147523	1848631	1270808	1398200	3162044	129953	473534	1206288	314719
2086471	2386527	2522527	1139616	2342286	86869	31476	533824	2883	4463863	22797	1576059	1318961	603977	1078595	615187	1332746	1065114	1309439	1054915	9264	64048	1367609	5011	7516	37962	28250	3919	1765490	1814503	113904	2091427	273764	1186515	1202071	688544	972833	2127232	1066187	1109176	786053	60619	7219	10558	153197	377	161192	45620	4781	28527	266883	633681	76446	892769	338437	606051	177258	2330747	1727250	1689425	3890739	148322	708246	1445732	382615
1728761	1908893	2120774	1020833	1983160	76932	23916	425712	2063	3796312	16359	1207195	1078451	401746	996750	503056	1013041	929818	916356	839153	8833	44599	854339	3813	5831	28382	25717	4010	1542545	1354415	85260	1703134	214786	942357	868405	553187	868442	1613339	814672	740035	646743	54106	5961	8236	126223	331	136490	33757	3616	20847	173237	468361	51050	473650	271749	318806	146846	1945528	1326547	1503503	3211024	121731	557055	1131457	352756
29924	41993	40873	26609	35980	1903	567	9564	32	69156	539	22964	20268	14302	17168	8515	30782	16809	23812	20761	141	992	31327	117	179	583	697	100	30224	24461	1896	31952	3539	21102	17173	13998	15651	38148	16241	22372	12155	1014	98	194	2340	3	2412	257	68	385	5737	12808	2134	27126	5157	18938	2517	33406	24236	31085	62235	2652	8576	27017	6275
32010	43465	41794	22350	36693	2019	841	13068	69	67283	316	25256	20352	15256	21710	11348	33704	22336	25701	19911	260	1976	33838	165	227	992	576	83	27246	29310	1944	32406	4743	22680	21854	18497	18895	41061	18912	27523	12653	1014	164	223	2528	12	2430	1915	76	394	5905	12815	1982	27119	5658	18265	2933	35716	27090	26800	61681	3417	10221	28092	7464
480021	538549	606079	262624	554854	23913	5531	115025	692	1055199	4142	350052	293317	121064	273200	127446	315262	243349	272001	225328	1944	11299	271763	880	1348	6998	5999	1010	419624	374448	24874	468853	57485	273207	234693	165013	235363	474051	219214	226258	179052	14019	1234	2162	35801	49	34992	7410	1007	5469	53578	142024	16391	178957	70156	121845	40509	532540	367560	432020	902371	28707	148376	331850	94340
2375821	2727125	3093132	1245232	2784226	163269	51275	891541	3194	5229101	25700	1598515	1473249	636976	1217993	665552	1527033	1065141	1412628	1101645	11316	123405	1455543	10911	18240	54943	51655	8634	2037415	1869682	122286	2364950	247904	1358045	1263553	808514	1019204	2436772	1113235	1204882	888112	60616	8494	14778	177625	339	146901	46458	5614	22314	257036	733727	85464	987623	305994	677943	209518	2616364	1809413	1912041	4519442	209915	590987	1641642	417347
17051479	19629415	20864897	8643216	19552110	561189	173432	3085731	17180	37801104	135391	10505438	10429148	4519755	7854122	4448634	10486986	5852902	9841429	7409606	75590	388234	10169694	40262	41038	200985	168029	28486	14499546	12608672	678709	16717263	1465875	9550311	8472444	5576064	5797461	17502572	7698788	8449010	6186514	332134	42611	75297	1232319	2147	783618	244308	35433	127058	1680598	5270422	546607	6989054	1911947	4710218	1366029	18448284	12440317	13056351	32622558	1039974	3316327	11543906	2554457
48892	59558	61616	30923	54983	2668	1245	22354	125	100895	746	38867	30707	17883	27476	18242	37389	33708	33506	27974	395	2519	39275	192	382	1345	914	112	40909	43838	2940	48539	8214	29558	33572	21420	31436	54297	27438	33956	18696	1894	264	309	3710	14	4792	2039	118	706	7339	16114	2303	27323	9412	19412	4409	55620	41268	40410	89633	4333	19519	36238	11280
2980128	3352753	3611085	1416217	3311559	125164	37018	702780	2630	6425446	25495	2001819	1795385	771951	1456353	800862	1943939	1202653	1784482	1326387	13387	73397	1857583	7043	11334	38894	33395	4899	2489758	2319070	134029	2891602	333948	1693254	1542360	1028682	1130907	3086246	1328166	1590668	1081030	61227	8324	13670	212781	336	164210	36720	6446	32672	353064	925155	107625	1328476	418656	897256	240939	3272433	2287300	2329654	5577550	184544	818081	2071439	483554
3143112	3734484	4025835	1778499	3668319	152375	63363	1036761	5083	6939133	32809	2108644	1944158	980563	1672173	836627	2283260	1396824	1973167	1514982	12761	119738	2186768	9602	14360	71534	50869	7387	2719175	2466439	152683	3124719	326907	1883039	1662657	1147509	1326407	3367077	1493289	1714283	1176258	84370	9865	17436	234313	467	203413	54235	6809	32008	394663	1046625	133034	1612799	414975	1100451	274513	3456151	2413660	2552127	6054837	236733	799635	2312991	550715
1497294	1719867	1909834	788890	1737526	81358	25369	515611	1854	3307552	13782	1004441	926757	402922	754787	416986	971851	656005	898051	699667	7196	63027	930612	5758	7695	28981	28161	4555	1293949	1173052	75893	1486228	150557	858617	791389	512137	626583	1548428	694996	768330	559080	34181	5065	8460	111357	188	84242	26403	3487	13811	163812	467565	54420	644142	193286	433294	126489	1643376	1137255	1216606	2858119	117008	356770	1040009	258759
1222054	1433414	1587333	648350	1418997	82554	30634	457531	2045	2664237	14623	852213	757581	362613	615469	376399	841943	581712	780257	594404	7491	74730	846346	6475	9766	33029	27204	4557	1046590	999374	66590	1219416	133540	718000	711784	457686	544455	1316447	596280	710334	461402	30628	4964	7843	92472	210	73939	31812	3008	11544	145773	396435	50337	601340	166678	412766	107205	1346948	952046	978170	2321244	110378	302233	869809	218399
45318	52285	67306	20193	55052	5579	1112	19654	82	97114	739	30480	26881	13091	21274	11423	34087	17056	29287	20002	186	3022	33015	124	370	1305	844	68	37127	34220	2266	43925	5228	27217	24076	16864	17121	50439	18898	27276	16214	1086	206	229	3386	8	2926	1149	96	543	6480	15836	2012	27266	6348	18638	4096	50237	34761	35826	86017	4356	12894	34175	7074
143719	154606	206258	67312	176462	12876	2573	107811	147	326594	1401	89071	88562	27681	61073	36498	71199	54587	78545	61294	602	6934	68807	545	699	3582	4333	741	127687	109444	7913	143542	11978	75714	68525	35957	58265	137384	61714	56857	54174	3641	710	1077	11069	19	8595	2027	338	1081	11628	40640	4577	41755	15919	28164	13060	158194	106214	113268	275162	14197	29226	90048	22923
2266787	2849158	2860441	1399616	2585533	110934	46896	760834	4110	4849372	30057	1679226	1426088	852560	1253473	774015	1859306	1283554	1588624	1245215	15479	90454	1907289	8096	11296	56546	38996	5180	1933408	1923178	127602	2270574	297581	1428053	1487651	1004641	1180456	2619521	1210599	1570752	864527	66722	10752	13422	172469	628	162196	78653	5122	25680	335768	808879	113758	1443272	359886	994936	208262	2516018	1829137	1867275	4323365	201614	677536	1756775	456455
4496885	5200422	5729898	2577681	5205970	244511	69289	1300369	5783	9839359	44016	3066081	2784386	1252217	2346348	1281495	2942048	2116910	2654240	2187276	21701	144800	2783566	13683	18798	79538	69613	10429	3920412	3508407	219600	4436364	515965	2566011	2368954	1558706	2007872	4594292	2133297	2326974	1673069	121078	15124	23201	330340	746	303382	86097	9636	49296	518789	1380545	164065	1893394	657861	1282372	384546	4991502	3445113	3729236	8495284	319099	1271425	3126522	822491
